MDS,ACFT_CLASS,ACFT_NAME,ALT_ACFT_NAME,ACFT_TYP,ACFT_ICAO_CD,LENGTH,WING_SPAN,HEIGHT,WING_HEIGHT,OUTBOARD_ENG_NACELLE_DIST,OUTBOARD_ENG_NACELLE_HEIGHT,WHEELBASE,GEAR_TYP,GEAR_TIRE_PRESSURE,ALLOW_TIRE_PRESSURE_CD,TURNING_RADIUS,MIN_180_TURN,MIN_RWY_WIDTH,MIN_RWY_LENGTH,MIN_TWY_WIDTH,ACFT_UOM,ACFT_LCN,MIN_ACFT_GW,MAX_ACFT_GW,MAX_AFLD_ELEV_MSL,MIN_INST_APCH_CAT,AVE_FUEL_BURN_RATE,MIN_OH_DESTINATION_FUEL,MIN_OH_DESTINATION_FUEL_REMARKS
C012J,C-12,Huron,,C,B,43.833333,54.5,15,6.416667,25.416667,1.25,17.6,T,96,WXY,,40.333333,60,4500,25,foot,7,11000,14090,,C,600,700,
C130J,C-130,Super Hercules,,C,D,112.75,132.583333,38.66667,12,41,6,14.166667,ST,65-119,WXYZ,,74,60,3000,30,foot,45,83000,175000,,C,4000,5300,3000 Emergency
C017A,C-17,Globemaster III,,C,D,174,169.833333,55.083333,12.5,52,7.666667,33.66667,TRT,139-149,WXY,,90,,3500,50,foot,62,276500,585000,,D,18000,16000,
C020H,C-20,Gulfstream IV (G4),G-4,C,,88.333333,77.833333,24.416667,5.5,,,16,T,189,WX,,54.166667,90,5000,25,foot,33,49000,73200,,C,3500,3000,
C021A,C-21,Learjet,,C,A,47.583333,39.5,12.25,2.083333,,,8.25,T,161-171,WXY,,60,70,4500,35,foot,8,10500,18500,,C,1400,600,
C027J,C-27,Spartan,,C,,74.5,94.166667,31.58333,16,15.583333,4.75,14,T,70-108,WXY,,40,60,3000,30,foot,29,46139,67240,,C,2100,1900,
C032B,C-32,Gatekeeper,B-757-200,C,D,155.25,134.75,44.5,14.333333,21.25,2.416667,28,TT,183,WX,,120,98,5000,49,foot,51,187400,256000,,C,7000,7000,
C037A,C-37,Gulfstream V (G5),G-5,C,C,96.416667,93.5,25.916667,6,,,16.666667,T,198,WX,,62,75,5000,25,foot,34,54500,90500,,C,3000,3000,
C040C,C-40,Clipper,B-737-700,C,C,110.333333,117.416667,41.166667,13.25,19.833333,1.5,12.916667,T,204,WX,,66,98,5000,49,foot,43,100000,171500,,C,5000,4500,
C005M,C-5,Galexy,,C,F,247.833333,222.75,65,13.166667,70,,37.416667,TDT,125-135,WXY,,150,147,6000,75,foot,37,380000,840000,,D,25000,14000,
C009C,C-9,Nightingale,DC-9,C,,119.25,93.25,27.5,7.333333,,,16.416667,T,150,WXY,,73,90,5000,40,foot,50,70000,110000,,C,6000,4000,
KC010A,KC-10,Extender,,K,D,181.5,165.333333,58.083333,14.333333,32,2.833333,40,SBTT,185,WX,,149.5,147,7000,75,foot,82,248000,593000,,D,18000,12000,
KC135T,KC-135,Stratotanker,,K,D,136.25,130.833333,41.666667,11.75,49,3.333333,24.916667,TT,130-165,WXY,,130,147,7000,74,foot,67,122500,322500,,D,9000,18800,8800 Emergency
KC046A,KC-46,Pegasus,,K,D,165.5,156.083333,52.833333,16.25,30.583333,2.666667,35.75,2D,200,WX,,130,147,7000,74,foot,69,204000,416000,,C,10100,10800,
VC25A,VC-25,Air Force One,B-747-200B,C,E,225.166667,195.666667,63.25,17.583333,72,5.583333,41.416667,DDT,198-205,WX,,153,150,7000,75,foot,75,526000,833000,,D,25000,14000,
